            Instance |     Method |               Status |      Value |      RAM |   Best (s) | Proved (s) | Solution                                                                        
                  55 |        lns |     closed(improved) |      10611 |     0.00 |       0.03 |       0.08 | 3 3 3 3 3 3 3 3 3 3 2 2 2 0 0 0 0 0 0 0 0 0 9 1 5 9 9 8 5 6 7 7 1 6 6 7 5 1 4 1 1 8 5 9 0 6 9 1 4 1 
                   3 |        lns |     closed(improved) |      11531 |     0.00 |       0.68 |       0.93 | 9 6 6 6 3 3 3 3 3 5 5 5 0 0 0 0 0 0 1 2 2 8 7 1 1 2 2 2 2 8 8 7 1 1 1 2 8 4 7 1 4 4 5 5 5 4 2 0 1 4 
                  35 |        lns |     closed(improved) |      15563 |     0.00 |       0.66 |       0.86 | 7 7 7 7 7 7 7 2 2 2 2 2 9 9 9 9 9 1 1 1 0 0 0 0 0 5 8 5 5 5 5 6 6 3 8 4 4 4 4 3 3 6 3 8 8 4 6 6 4 4 
                  43 |        lns |     closed(improved) |      13290 |     0.00 |       0.47 |       0.47 | 3 3 3 3 3 3 3 3 5 5 5 5 5 6 6 6 2 7 7 7 0 1 4 4 2 8 7 7 1 9 9 9 9 2 0 9 9 0 0 2 2 2 8 0 1 1 2 8 0 0 
                  34 |        lns |     closed(improved) |      15671 |     0.00 |       0.58 |       0.89 | 6 6 6 6 1 1 1 1 1 1 1 5 5 5 5 2 2 2 8 8 8 8 8 8 9 3 3 8 4 4 9 9 9 7 7 3 3 7 7 4 4 4 4 3 2 7 0 0 0 4 
                  26 |        lns |     closed(improved) |      11942 |     0.00 |       0.74 |       0.91 | 8 8 8 8 8 8 4 4 4 4 7 7 1 1 1 1 1 1 1 3 0 9 3 3 2 5 5 0 0 0 0 0 2 6 6 9 2 2 6 0 0 0 3 2 5 6 0 2 2 6 
                  40 |        lns |     closed(improved) |      14809 |     0.00 |       0.55 |       0.91 | 6 6 6 6 6 6 7 7 7 7 7 7 3 3 3 3 3 3 3 5 5 4 4 4 4 0 1 8 9 9 4 8 2 5 5 5 0 2 1 2 5 5 0 0 2 2 1 1 2 2 
                  25 |        lns |     closed(improved) |      12054 |     0.00 |       0.68 |       1.01 | 5 5 5 5 5 1 1 1 1 1 8 8 8 8 2 2 2 2 2 4 4 3 7 0 0 4 4 7 3 7 0 6 6 6 6 3 9 9 9 3 3 7 3 4 6 6 9 3 9 0 
                  24 |        lns |     closed(improved) |      15247 |     0.00 |       1.05 |       1.05 | 6 6 6 6 6 6 8 8 8 8 8 2 2 2 2 9 9 5 5 1 0 0 5 5 5 5 5 5 4 4 7 0 0 0 1 4 4 4 3 3 3 0 0 0 0 4 1 4 4 1 
                  33 |        lns |     closed(improved) |      13150 |     0.00 |       1.13 |       1.13 | 3 3 3 3 3 2 2 2 2 6 6 5 5 5 5 5 9 9 9 9 9 9 7 8 8 4 9 0 0 0 4 1 7 0 4 4 7 7 7 8 8 0 0 1 1 8 0 0 0 4 
                  41 |        lns |     closed(improved) |      13410 |     0.00 |       0.58 |       0.94 | 7 7 7 7 7 7 7 7 9 9 9 9 9 6 6 6 6 6 5 0 1 5 5 3 8 8 8 8 0 0 3 4 4 4 2 2 2 3 4 4 3 3 4 4 1 1 1 2 2 3 
                   9 |        lns |     closed(improved) |      14646 |     0.00 |       0.97 |       1.29 | 6 6 6 6 6 6 6 6 3 1 1 1 1 1 1 9 9 9 9 4 0 0 2 4 5 5 0 0 5 2 2 2 2 7 0 0 0 0 8 7 7 7 8 8 2 2 2 0 9 0 
                  66 |        lns |     closed(improved) |       9765 |     0.00 |       0.11 |       0.18 | 7 7 7 7 6 6 6 6 6 6 6 4 4 4 4 4 4 4 1 1 3 3 3 5 5 5 9 0 0 0 0 0 5 2 1 1 9 0 0 5 3 8 1 9 2 0 0 8 2 2 
                  63 |        lns |     closed(improved) |      15871 |     0.00 |       0.11 |       0.29 | 9 9 9 9 9 5 5 5 4 4 4 4 4 4 1 1 1 1 1 7 6 6 8 8 8 7 6 1 0 0 0 3 2 2 0 0 3 2 2 6 1 0 0 0 2 2 0 3 3 2 
                  17 |        lns |     closed(improved) |      11984 |     0.00 |       1.31 |       1.31 | 6 6 6 6 6 6 9 9 9 9 5 5 3 3 7 7 7 7 7 4 4 4 4 0 0 8 4 0 0 0 1 8 1 1 2 2 4 0 8 1 8 4 4 4 8 7 1 2 2 0 
                   1 |        lns |     closed(improved) |      14051 |     0.01 |       0.95 |       1.40 | 3 3 3 3 3 0 0 0 0 6 6 6 7 2 2 2 2 2 2 2 1 1 5 8 7 2 4 1 1 1 4 9 8 5 5 9 9 9 9 4 4 8 5 5 5 5 5 8 8 4 
                  11 |        lns |     closed(improved) |      20305 |     0.01 |       1.40 |       1.40 | 2 2 2 2 2 2 9 9 3 3 3 3 1 1 1 1 1 1 1 1 1 1 4 8 6 7 7 7 4 0 8 5 6 4 0 4 5 1 6 4 8 0 0 0 4 8 6 6 6 5 
                  38 |        lns |     closed(improved) |       8705 |     0.01 |       0.89 |       1.31 | 3 3 3 3 3 3 3 3 3 1 1 1 0 0 0 9 7 6 6 2 8 7 4 8 9 9 4 2 2 8 4 2 5 9 9 5 5 2 8 6 5 1 9 0 9 7 6 2 8 5 
                  58 |        lns |     closed(improved) |      14179 |     0.00 |       0.15 |       0.54 | 9 9 9 9 7 7 1 1 1 1 8 8 8 8 8 8 4 4 4 0 3 4 4 0 6 6 5 5 2 2 6 3 0 0 0 6 5 3 5 3 5 5 5 3 2 2 2 0 0 3 
                  61 |        lns |     closed(improved) |       9631 |     0.00 |       0.26 |       0.41 | 3 3 6 6 6 8 8 8 8 8 1 1 1 1 1 1 1 9 9 9 5 0 4 5 5 0 2 4 0 4 5 0 2 2 5 5 0 4 2 7 5 5 0 2 7 7 7 2 0 4 
                  69 |        lns |     closed(improved) |      12617 |     0.00 |       0.24 |       0.42 | 3 3 3 3 3 3 2 2 2 2 2 2 0 0 1 1 1 1 1 7 5 9 8 0 7 7 7 4 5 8 4 4 4 4 6 7 7 7 4 8 0 6 5 8 4 4 4 5 5 6 
                  67 |        lns |     closed(improved) |      14114 |     0.00 |       0.47 |       0.62 | 1 1 1 1 0 0 0 0 0 0 0 9 9 9 9 9 9 4 5 5 5 5 2 2 7 7 4 4 8 8 3 3 3 6 2 7 3 4 4 4 2 6 6 2 2 7 3 6 6 6 
                  73 |        lns |     closed(improved) |      15080 |     0.00 |       0.10 |       0.35 | 0 0 0 0 2 2 2 2 7 7 7 9 9 9 4 1 1 1 1 1 6 5 5 4 3 8 1 1 4 4 4 4 4 8 6 6 5 3 6 6 6 6 6 8 8 5 5 5 3 3 
                  62 |        lns |     closed(improved) |      15226 |     0.00 |       0.73 |       0.73 | 6 4 4 4 4 4 1 1 1 1 1 1 1 9 9 9 9 9 9 9 9 7 2 2 3 8 5 7 7 3 3 5 2 2 0 5 5 2 0 0 3 3 3 5 2 2 2 0 5 5 
                   4 |        lns |     closed(improved) |      14066 |     0.01 |       1.38 |       1.87 | 1 1 1 1 1 1 8 8 8 6 6 6 6 6 9 9 9 4 4 4 4 5 0 3 3 7 7 7 7 7 2 0 0 5 0 0 4 3 3 3 7 5 0 0 0 2 3 3 3 2 
                  79 |        lns |     closed(improved) |       8247 |     0.00 |       0.18 |       0.40 | 7 7 7 7 7 3 3 3 0 0 0 0 0 0 0 4 4 4 1 2 2 2 2 2 5 5 5 6 1 5 5 8 1 1 1 1 6 6 9 6 2 1 1 5 4 4 0 2 2 1 
                  50 |        lns |     closed(improved) |      11151 |     0.00 |       0.72 |       1.25 | 5 5 5 5 4 4 4 3 3 3 7 7 7 7 7 2 2 9 9 9 0 1 8 8 6 0 0 0 0 0 1 8 8 6 1 1 8 6 8 9 9 0 1 6 6 6 0 1 1 8 
                  39 |        lns |     closed(improved) |      15371 |     0.01 |       1.31 |       1.86 | 2 2 2 2 2 1 1 1 1 8 8 8 8 8 8 4 4 4 4 4 9 9 6 7 5 3 7 7 0 9 3 7 0 0 9 6 5 9 7 7 7 5 9 6 3 3 0 0 5 3 
                  16 |        lns |     closed(improved) |       8121 |     0.01 |       1.32 |       1.94 | 1 1 1 1 1 8 8 8 0 0 0 0 0 0 7 5 5 5 9 9 9 4 6 3 3 3 6 5 5 4 7 9 3 2 2 5 5 6 2 7 9 3 3 4 4 2 4 8 3 2 
                  57 |        lns |     closed(improved) |      12226 |     0.00 |       0.74 |       1.09 | 2 2 2 0 0 0 0 0 0 1 1 1 1 1 1 1 4 4 3 7 5 9 9 7 3 3 9 6 8 3 9 9 9 6 6 8 9 9 8 4 3 7 6 3 6 9 8 4 5 5 
                  74 |        lns |     closed(improved) |      10735 |     0.00 |       0.38 |       0.60 | 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 9 9 9 1 1 6 3 3 1 1 8 6 6 4 7 7 4 2 6 3 3 2 8 6 3 3 1 8 2 4 1 8 2 
                  80 |        lns |     closed(improved) |       9934 |     0.00 |       0.30 |       0.50 | 9 9 9 9 9 9 7 7 7 7 2 2 2 2 2 2 2 3 3 3 8 5 5 5 3 3 1 4 4 1 6 5 5 0 1 1 5 3 5 5 0 0 0 1 6 6 6 0 0 1 
                  52 |        lns |     closed(improved) |      14814 |     0.01 |       1.31 |       1.31 | 4 4 4 4 1 1 1 1 1 1 1 5 5 6 6 6 6 6 8 8 7 5 5 5 5 0 8 8 8 2 7 7 2 2 2 2 9 9 3 0 0 7 9 9 9 2 0 0 3 3 
                  81 |        lns |     closed(improved) |      13165 |     0.00 |       0.31 |       0.49 | 5 5 5 5 5 9 9 9 3 3 0 0 0 0 8 8 8 2 2 2 6 7 7 4 1 6 6 2 2 2 2 6 1 6 4 1 7 7 7 4 4 6 6 4 1 1 6 6 4 4 
                  28 |        lns |     closed(improved) |       9696 |     0.01 |       1.37 |       2.01 | 7 7 7 7 7 7 5 5 5 5 5 5 5 5 8 3 3 3 9 9 9 9 1 1 6 6 1 1 1 1 1 0 2 4 0 0 3 2 1 3 3 2 4 6 6 2 1 1 0 2 
                  68 |        lns |     closed(improved) |      13795 |     0.00 |       0.82 |       1.04 | 3 3 3 3 3 3 3 9 9 9 9 9 0 0 0 1 1 1 2 2 7 6 6 6 6 7 2 2 5 7 4 8 5 5 2 2 2 7 6 6 6 7 1 1 1 8 5 2 2 7 
                  51 |        lns |     closed(improved) |      10888 |     0.01 |       1.52 |       1.52 | 1 1 1 1 1 1 8 8 8 8 8 8 4 4 4 4 7 7 7 7 2 3 4 6 3 3 2 2 2 6 6 6 3 9 2 6 3 3 3 9 5 0 9 3 3 5 5 0 0 5 
                  91 |        lns |     closed(improved) |      10530 |     0.00 |       0.08 |       0.18 | 5 5 5 5 5 5 5 8 8 8 8 8 8 2 2 2 2 2 2 4 1 0 6 7 7 3 4 6 6 4 4 0 0 1 4 4 7 3 3 6 0 0 6 9 3 7 7 3 3 0 
                  92 |        lns |     closed(improved) |      10353 |     0.00 |       0.11 |       0.37 | 4 4 4 4 7 7 7 7 7 3 3 3 3 0 0 0 0 0 5 5 5 9 2 5 9 8 2 5 5 1 8 8 2 6 6 6 1 1 9 2 2 8 8 6 1 2 2 2 6 1 
                  64 |        lns |     closed(improved) |      13296 |     0.01 |       0.91 |       1.44 | 2 2 2 2 2 2 8 8 8 8 8 8 8 8 1 1 1 1 1 9 7 1 4 9 0 0 0 9 7 4 4 3 7 3 5 6 9 0 9 4 6 3 3 6 1 4 4 6 9 7 
                  78 |        lns |     closed(improved) |      10463 |     0.00 |       0.66 |       1.02 | 9 9 9 9 9 8 8 8 8 1 1 1 1 1 1 1 4 2 2 2 6 7 5 5 5 5 5 6 6 6 3 5 6 4 4 4 4 4 3 3 0 0 0 6 4 3 3 5 0 0 
                  65 |        lns |     closed(improved) |      13369 |     0.00 |       1.16 |       1.47 | 9 9 9 9 6 6 2 2 2 2 2 2 7 7 3 3 3 1 1 1 4 8 5 5 1 1 4 5 5 1 1 1 1 5 0 8 8 8 0 0 0 0 4 4 8 8 5 5 5 4 
                  70 |        lns |     closed(improved) |      17418 |     0.00 |       1.34 |       1.34 | 6 6 6 6 1 1 1 1 1 1 1 1 1 2 2 2 2 2 5 5 7 3 2 9 4 8 8 3 3 9 9 9 7 7 4 8 8 8 8 4 4 4 0 4 8 8 8 0 7 3 
                  59 |        lns |     closed(improved) |      18450 |     0.01 |       1.03 |       1.75 | 2 2 2 2 2 2 1 1 1 9 9 9 9 9 9 0 0 0 0 0 0 0 6 6 6 5 4 3 3 0 8 8 8 5 7 6 6 5 8 8 4 4 3 3 3 7 8 8 5 5 
                 100 |        lns |     closed(improved) |      15395 |     0.00 |       0.31 |       0.31 | 4 4 4 7 7 7 7 3 3 3 1 1 1 1 1 6 6 6 6 9 5 8 8 8 2 8 8 8 9 9 9 2 2 2 8 5 5 5 0 2 8 8 5 0 2 2 8 5 0 0 
                  20 |        lns |     closed(improved) |      15094 |     0.01 |       1.60 |       2.76 | 8 8 8 8 2 2 2 2 2 2 2 2 2 6 6 6 0 0 0 0 9 1 5 4 0 0 3 3 3 5 1 9 9 7 1 1 1 5 4 3 5 5 5 5 7 7 4 3 3 4 
                  27 |        lns |     closed(improved) |      14216 |     0.01 |       2.76 |       2.76 | 6 6 6 6 6 6 6 7 7 7 4 4 4 4 4 4 1 1 1 1 9 0 1 1 3 3 9 5 0 1 5 5 9 9 5 5 2 2 5 3 3 0 9 5 0 0 0 5 5 2 
                  95 |        lns |     closed(improved) |       9369 |     0.00 |       0.65 |       0.65 | 0 0 0 0 0 0 0 8 8 8 8 8 8 8 8 8 4 4 4 3 6 1 1 2 2 2 9 7 1 1 1 1 5 6 5 9 9 6 6 6 9 1 1 1 7 7 7 2 2 9 
                  96 |        lns |     closed(improved) |      11596 |     0.00 |       0.51 |       0.67 | 0 0 0 0 0 0 2 2 2 2 2 2 2 2 8 8 8 8 8 7 5 8 1 7 7 9 1 5 6 6 3 3 9 9 1 3 3 6 6 5 5 5 9 1 6 3 6 6 1 1 
                  87 |        lns |     closed(improved) |      21170 |     0.01 |       0.51 |       0.88 | 0 0 0 0 0 0 4 4 4 2 2 2 2 2 2 3 3 3 3 7 9 6 6 8 1 1 7 5 5 5 5 5 5 9 9 9 1 1 1 1 8 8 8 8 1 1 3 9 1 1 
                  94 |        lns |     closed(improved) |      10169 |     0.00 |       0.53 |       0.72 | 2 2 2 2 2 2 6 6 6 6 0 0 0 0 0 5 5 7 7 7 7 8 8 8 9 9 3 3 3 3 8 8 1 4 4 4 4 8 9 9 8 1 4 8 8 3 1 1 9 3 
                  89 |        lns |     closed(improved) |      14163 |     0.00 |       0.87 |       0.87 | 9 9 9 4 4 4 4 4 4 1 1 1 1 1 6 5 5 5 5 5 7 3 3 0 0 0 7 7 8 3 2 0 0 7 7 3 2 0 3 3 0 8 3 3 5 5 7 3 2 0 
                  54 |        lns |     closed(improved) |      10238 |     0.01 |       1.27 |       2.11 | 7 7 7 7 7 1 1 1 1 1 6 5 5 5 5 5 5 3 3 3 3 8 6 9 0 6 6 6 2 2 4 4 6 9 4 8 4 4 0 2 8 8 2 2 3 4 5 4 0 2 
                  44 |        lns |     closed(improved) |      12704 |     0.01 |       2.45 |       2.45 | 0 0 0 0 9 9 9 9 3 3 3 3 3 3 5 5 5 5 4 7 8 2 2 2 2 2 2 4 4 8 6 1 1 1 1 8 8 2 7 8 6 6 6 8 2 4 4 6 1 2 
                  88 |        lns |     closed(improved) |      10997 |     0.00 |       0.52 |       0.89 | 0 0 0 0 0 0 0 7 7 1 1 1 1 1 6 6 6 6 6 5 3 2 9 5 5 6 6 8 8 3 9 9 2 5 9 8 6 5 3 9 8 9 4 3 2 2 5 9 3 4 
                  76 |        lns |     closed(improved) |      10061 |     0.01 |       0.88 |       1.64 | 5 5 5 5 5 5 5 5 2 2 2 1 9 9 9 9 9 8 8 8 8 6 3 7 1 1 4 0 3 3 7 7 0 7 7 3 4 6 0 0 3 3 3 7 0 8 6 4 1 0 
                  97 |        lns |     closed(improved) |      14786 |     0.00 |       0.63 |       0.91 | 4 4 4 4 4 5 5 5 5 8 8 8 9 9 9 9 9 1 3 3 3 3 3 3 1 6 2 3 0 1 6 2 7 7 7 7 7 1 1 1 2 7 7 6 0 0 7 6 6 0 
                  77 |        lns |     closed(improved) |      11829 |     0.01 |       1.35 |       1.89 | 8 8 8 8 8 1 1 1 1 1 1 3 3 5 5 7 7 7 7 6 2 2 2 2 0 7 4 4 9 9 5 6 0 0 4 4 0 6 0 9 4 4 9 5 6 6 6 4 2 0 
                   5 |        lns |     closed(improved) |      15026 |     0.01 |       2.24 |       3.43 | 0 0 0 0 2 2 2 2 7 7 7 3 3 3 3 3 4 8 8 8 1 6 9 9 8 8 4 4 6 6 9 1 1 1 1 1 1 1 4 4 5 5 9 9 9 6 6 6 9 5 
                  99 |        lns |     closed(improved) |      18872 |     0.00 |       0.77 |       1.09 | 8 8 8 8 7 7 7 1 1 1 1 1 1 1 1 1 9 2 2 2 2 2 2 5 5 0 9 3 3 3 3 3 6 5 4 0 3 3 6 4 4 4 0 3 6 5 5 5 4 0 
                  75 |        lns |     closed(improved) |       9904 |     0.01 |       2.31 |       2.31 | 3 3 3 3 9 9 9 4 4 4 4 1 1 1 5 5 5 5 5 8 0 7 7 7 8 2 2 2 7 6 6 6 8 2 7 0 0 0 8 8 2 2 7 0 8 7 7 6 6 0 
                   7 |        lns |     closed(improved) |      14018 |     0.01 |       3.76 |       3.76 | 4 4 9 9 9 9 9 8 8 8 8 8 2 2 2 2 2 0 0 0 0 6 3 7 7 0 6 6 6 5 1 6 3 7 7 7 6 6 3 3 5 5 1 6 3 5 5 1 6 3 
                  83 |        lns |     closed(improved) |      15603 |     0.01 |       1.29 |       2.10 | 9 9 9 9 1 1 1 1 1 3 3 3 3 3 3 3 5 5 5 5 2 4 7 4 4 0 8 6 6 7 2 2 2 2 2 2 7 4 0 8 8 6 0 0 4 7 4 6 6 2 
                  84 |        lns |     closed(improved) |      15586 |     0.01 |       1.02 |       2.05 | 7 7 7 1 1 1 1 1 1 4 4 4 4 4 3 6 6 6 6 6 2 2 0 3 2 8 4 5 0 0 8 8 0 0 5 6 6 2 8 0 9 9 6 5 0 3 8 2 2 0 
                  71 |        lns |     closed(improved) |      15800 |     0.01 |       2.06 |       2.64 | 0 0 0 0 0 0 0 0 7 7 7 7 7 5 5 5 5 5 5 9 2 2 3 3 1 1 1 1 8 9 8 8 9 3 1 1 2 2 3 8 8 9 3 2 8 1 5 5 9 2 
                  90 |        lns |     closed(improved) |      17149 |     0.01 |       0.95 |       1.83 | 9 9 9 0 0 0 0 1 1 1 4 2 2 2 2 2 2 8 4 4 4 4 4 2 3 6 6 5 5 5 8 3 5 5 8 8 6 6 6 7 7 8 8 3 3 6 7 5 5 3 
                  85 |        lns |     closed(improved) |       9848 |     0.03 |       1.41 |       2.35 | 1 1 1 1 1 1 1 1 4 4 4 4 4 5 5 5 6 6 6 8 8 8 8 2 8 7 2 0 9 9 2 9 3 0 0 7 2 8 8 2 7 9 9 2 3 7 2 8 5 0 
                  93 |        lns |     closed(improved) |      13246 |     0.01 |       2.18 |       2.18 | 7 7 7 7 7 2 2 2 3 3 3 3 9 9 9 9 1 1 1 1 6 4 1 1 1 4 4 4 4 8 6 0 6 6 0 5 8 8 8 6 6 5 5 0 5 0 0 0 0 6 
                  49 |        lns |     closed(improved) |      17353 |     0.01 |       4.04 |       4.04 | 4 4 4 4 4 2 2 2 2 2 2 2 2 1 1 1 1 8 8 8 8 8 8 8 6 0 0 6 5 5 9 9 0 0 0 3 7 7 6 9 0 3 3 7 5 5 3 3 3 7 
                  53 |        lns |     closed(improved) |       7757 |     0.03 |       2.25 |       4.19 | 6 6 6 6 6 3 3 3 1 1 1 1 1 4 4 4 4 4 4 8 5 4 8 8 7 7 0 0 0 2 5 9 9 7 7 2 8 0 0 2 7 9 9 8 0 7 7 7 2 5 
                 124 |        lns |     closed(improved) |       8625 |     0.01 |       1.24 |       1.24 | 9 9 6 6 6 6 6 6 1 1 1 1 5 5 5 5 5 5 5 5 0 0 0 0 0 2 2 2 4 4 7 8 8 8 8 4 4 4 3 3 0 0 0 0 8 4 4 4 3 2 
                  82 |        lns |     closed(improved) |      13457 |     0.01 |       2.41 |       3.53 | 4 4 4 4 4 4 8 8 8 8 8 3 3 3 3 3 3 3 5 7 7 9 9 9 9 0 7 7 1 6 6 0 0 5 6 1 1 2 0 0 0 0 0 1 2 2 5 5 0 1 
                  60 |        lns |     closed(improved) |      15101 |     0.01 |       2.69 |       4.31 | 1 1 1 1 1 8 8 8 8 0 0 0 0 0 0 9 9 9 9 9 4 2 2 5 5 2 2 4 6 6 3 3 3 7 4 4 3 3 3 3 2 5 3 7 4 4 2 3 3 2 
                  86 |        lns |     closed(improved) |       9987 |     0.01 |       2.78 |       3.47 | 7 7 8 8 8 8 8 8 2 2 2 2 2 2 3 3 3 3 9 9 5 1 1 4 9 9 4 6 6 6 6 6 0 0 4 1 1 5 4 1 1 9 4 4 3 3 0 0 2 1 
                 122 |        lns |     closed(improved) |       7930 |     0.01 |       1.40 |       2.02 | 5 5 5 5 1 1 1 1 1 2 2 2 2 6 6 6 6 6 6 3 3 4 0 0 0 0 7 7 7 8 8 9 9 9 9 3 3 3 3 0 0 0 0 7 0 0 0 9 8 8 
